status,evaluations,generation,total_time_seconds,alg_time_seconds,eval_time_seconds,seed,discrete,discrete_active,continuous,continuous_active,expressions,mse_train,objectives,constraint_value
Running,512,0,0.001650183,0.001029955,0.000620228,42897,"[1,4,4,3,4,0,4,0,1,0,1,5,5,1,0,1,1,2,5,1,5,0,1,1,0,5,4,1,0,0,1]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1.78763,-0.316087,1.59493,-1.91506,1.44649,-1.22882,0.429586,-1.90825,0.848208,-1.65696,-1.89122,1.07993,0.567871,-1.6691,1.52716,-1.27049,0.812548,-1.46373,0.0858743,2.09156,0.33628,1.14153,0.916283,-0.0613901,1.21823,1.04954,-0.348065,-0.671794,-2.00895,0.133086,-1.63747]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1.7876258073807128",0.0646963,"[0.0646963]",0
Running,1095,0,0.004337074,0.003031845,0.001305229,42897,"[1,4,4,3,4,0,4,0,1,0,1,5,5,1,0,1,1,2,5,1,5,0,1,1,0,5,4,1,0,0,1]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1.78763,-0.316087,1.59493,-1.91506,1.44649,-1.22882,0.429586,-1.90825,0.848208,-1.65696,-1.89122,1.07993,0.567871,-1.6691,1.52716,-1.27049,0.812548,-1.46373,0.0858743,2.09156,0.33628,1.14153,0.916283,-0.0613901,1.21823,1.04954,-0.348065,-0.671794,-2.00895,0.133086,-1.63747]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1.7876258073807128",0.0646963,"[0.0646963]",0
Running,2442,0,0.006537971,0.003602939,0.002935032,42897,"[1,4,4,3,4,0,4,0,1,0,1,5,5,1,0,1,1,2,5,1,5,0,1,1,0,5,4,1,0,0,1]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1.78763,-0.316087,1.59493,-1.91506,1.44649,-1.22882,0.429586,-1.90825,0.848208,-1.65696,-1.89122,1.07993,0.567871,-1.6691,1.52716,-1.27049,0.812548,-1.46373,0.0858743,2.09156,0.33628,1.14153,0.916283,-0.0613901,1.21823,1.04954,-0.348065,-0.671794,-2.00895,0.133086,-1.63747]","[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","1.7876258073807128",0.0646963,"[0.0646963]",0
Running,5106,0,0.009836461,0.00454597,0.005290491,42897,"[5,3,2,5,5,4,5,0,1,1,1,3,2,0,1,1,0,4,4,4,3,0,0,1,1,5,5,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1.28064,1.49479,0.756976,-1.43002,1.69088,0.927979,-1.47834,-0.961735,0.0875484,0.741274,-1.21686,0.571932,-1.10687,-1.79223,1.85341,-0.488948,0.405857,-0.764586,-1.69982,1.10706,1.5977,-1.92468,1.31418,1.42865,-1.5158,0.0337916,-0.421444,-1.02933,0.764756,-1.34032,-1.44737]","[0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1]","((((-1.3403189273363845/-1.4473709141044142) * (-1.0293334639565428/0.7647562640598853)) - ((1.4286515489915073 * -1.5157962218324266) * (x0 - x0)))/(((-0.4889475152652272 - x0)/(x0 + 1.853406483907111)) + ((0.7412736275306111 * -1.2168567389285174)/(x0/0.08754842554284092))))",0.0464616,"[0.0464616]",0
Running,10354,0,0.016790712,0.006648254,0.010142458,42897,"[5,2,3,2,5,5,2,0,0,1,1,0,4,1,1,0,1,2,3,3,2,0,1,0,1,3,2,1,0,0,0]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0.235239,0.505607,-0.648506,-1.45911,1.30027,0.642189,0.822579,0.426004,-0.179237,1.17549,-1.03167,0.933422,-1.23608,-0.0794857,-1.67985,-1.95853,0.835483,-1.40567,0.969452,-0.05784,0.020749,-1.66703,-0.289243,0.676488,-2.08968,-1.25724,0.328014,0.251623,1.06094,1.04797,0.290957]","[0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0]","((((x0 - x0) + (0.25162341175707725 + x0)) + ((x0 - -2.0896763916041143) - (x0 + -0.28924329177075037)))/((x0 + (-0.07948565705946242 * -1.679846337746673)) - ((1.175487834265319/-1.0316724241806852)/(x0 + x0))))",0.0200906,"[0.0200906]",0
Running,13797,1,0.023805655000000002,0.009054713,0.014750942,42897,"[3,5,5,5,2,2,2,0,1,1,0,4,3,1,1,1,1,4,3,4,3,1,1,0,0,2,0,1,1,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[-1.0937,1.73551,2.07986,0.128737,-2.15284,-1.37876,-0.0144105,0.757488,1.92531,-1.42806,1.01486,-1.5571,0.857253,0.636092,-0.164854,-0.152335,1.47217,-0.0754301,-1.67254,0.596835,1.50239,-1.29107,-0.815797,-1.55663,-1.3236,-1.04544,0.691318,0.708565,-0.180134,-1.38594,1.72753]","[0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1]","((((x0 + 1.7275348620265616) * x0)/((x0 * x0) - (-1.2910667204905617 - -0.8157972223443262))) - (((-0.15233504071244308 * 1.4721667560793783)/(0.6360917583298118 - -0.1648537159576442))/((-1.428057504252251 + x0) + (x0 + 1.9253080722530842))))",0.0117376,"[0.0117376]",0
Running,20708,1,0.032663023,0.012086457,0.020576566,42897,"[3,5,5,5,2,2,2,1,1,1,0,4,2,1,1,1,1,4,3,4,3,1,1,0,0,2,0,1,1,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[-1.0937,1.73551,2.07986,0.128737,-2.15284,-1.37876,-0.0144105,0.757488,1.92531,-1.42806,1.01486,-1.5571,0.857253,0.636092,-0.164854,-0.152335,1.47217,-0.0754301,-1.67254,0.596835,1.50239,-1.29107,-0.815797,-1.55663,-1.3236,-1.04544,0.691318,0.708565,-0.180134,-1.38594,1.72753]","[0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1]","((((x0 + 1.7275348620265616) * x0)/((x0 * x0) - (-1.2910667204905617 - -0.8157972223443262))) - (((-0.15233504071244308 * 1.4721667560793783)/(0.6360917583298118 + -0.1648537159576442))/((-1.428057504252251 + x0) + (0.757488101813665 + 1.9253080722530842))))",0.00825283,"[0.00825283]",0
Running,27714,2,0.044170409,0.015979064,0.028191345,42897,"[3,5,5,5,2,2,2,1,1,1,0,4,2,1,1,1,1,4,3,4,3,1,1,0,0,2,0,1,1,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[-1.0937,1.73551,2.07986,0.128737,-2.15284,-1.37876,-0.0144105,0.757488,1.92531,-1.42806,1.01486,-1.5571,0.857253,0.636092,-0.164854,-0.152335,1.47217,-0.0754301,-1.67254,0.596835,1.50239,-1.29107,-0.815797,-1.55663,-1.3236,-1.04544,0.691318,0.708565,-0.180134,-1.38594,1.72753]","[0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1]","((((x0 + 1.7275348620265616) * x0)/((x0 * x0) - (-1.2910667204905617 - -0.8157972223443262))) - (((-0.15233504071244308 * 1.4721667560793783)/(0.6360917583298118 + -0.1648537159576442))/((-1.428057504252251 + x0) + (0.757488101813665 + 1.9253080722530842))))",0.00825283,"[0.00825283]",0
Running,41492,2,0.061314866,0.021472008,0.039842858,42897,"[3,5,5,5,2,2,2,0,1,1,1,4,2,1,1,1,1,4,3,4,3,1,1,0,0,2,0,1,1,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[-1.0937,1.73551,2.07986,0.128737,-2.15284,-1.37876,-0.0144105,0.757488,1.92531,-1.42806,1.01486,-1.5571,0.857253,0.636092,-0.164854,-0.152335,1.47217,-0.0754301,-1.67254,0.596835,1.50239,-1.29107,-0.815797,-1.55663,-1.3236,-1.04544,0.691318,0.708565,-0.180134,-1.38594,1.72753]","[0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1]","((((x0 + 1.7275348620265616) * x0)/((x0 * x0) - (-1.2910667204905617 - -0.8157972223443262))) - (((-0.15233504071244308 * 1.4721667560793783)/(0.6360917583298118 + -0.1648537159576442))/((-1.428057504252251 + 1.014858481731327) + (x0 + 1.9253080722530842))))",0.00772505,"[0.00772505]",0
Running,56629,4,0.086715048,0.029873218,0.05684183,42897,"[3,5,5,5,2,2,2,0,1,1,1,4,2,1,1,1,1,4,3,4,3,1,1,0,0,2,0,1,1,0,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1]","[-1.0937,1.73551,2.07986,0.128737,-2.15284,-1.37876,-0.0144105,0.757488,1.92531,-1.42806,1.01486,-1.5571,0.857253,0.636092,-0.164854,-0.152335,1.47217,-0.0754301,-1.67254,0.596835,1.50239,-1.29107,-0.815797,-1.55663,-1.3236,-1.04544,0.691318,0.708565,-0.180134,-1.38594,1.72753]","[0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1]","((((x0 + 1.7275348620265616) * x0)/((x0 * x0) - (-1.2910667204905617 - -0.8157972223443262))) - (((-0.15233504071244308 * 1.4721667560793783)/(0.6360917583298118 + -0.1648537159576442))/((-1.428057504252251 + 1.014858481731327) + (x0 + 1.9253080722530842))))",0.00772505,"[0.00772505]",0
